drugs,from_user,text,time,geo_coordinates,iso_language_code,from_user_id_str,id_str,to_user,to_user_id_str,created_at,in_reply_to_status_id_str,source,profile_image_url,status_url,entities_str,compt
sertraline,emilye_west,"sertraline, lorazepam, melatonin 🙏💉 #sleepingoodtonight",18/09/2012 05:05:16,"loc: 44.529066,-88.076522",pl,37131395,247924228383465474 ,,0,"Tue, 18 Sep 2012 05:05:16 +0000",,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/1765109119/297270_10150284365977798_502052797_8135675_7974018_n_normal.jpg,http://twitter.com/emilye_west/statuses/247924228383465474,"{""urls"":[],""hashtags"":[{""text"":""sleepingoodtonight"",""indices"":[36,55]}],""user_mentions"":[]}",
omeprazole,PaulistaSilvaBr,@DrOz I have acid reflux for over 2 years I been taking omeprazole but it's not helping and my mouth gets dry from Zoloft how can I cure,18/09/2012 03:52:37,"loc: 41.01265,-76.49048",en,751561962,247905944024014848 ,DrOz,38531995,"Tue, 18 Sep 2012 03:52:37 +0000",247803522710654976,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2584892007/image_normal.jpg,http://twitter.com/PaulistaSilvaBr/statuses/247905944024014848,"{""urls"":[],""hashtags"":[],""user_mentions"":[{""id"":38531995,""name"":""Dr. Mehmet Oz"",""indices"":[0,5],""screen_name"":""DrOz"",""id_str"":""38531995""}]}",
omeprazole,NandoSegovia,"Quiero un PPI burgués. Omeprazole, no me agrada del todo, me merezco un esomeprazol #nexiumnoteacabes",18/09/2012 03:51:36,"loc: 25.710366,-100.35246",es,29045946,247905688557338624 ,,0,"Tue, 18 Sep 2012 03:51:36 +0000",,&lt;a href=&quot;http://www.twitter.com&quot;&gt;Twitter for Windows Phone&lt;/a&gt;,http://a0.twimg.com/profile_images/2491260910/ibrbfu3no4g9soh49wua_normal.jpeg,http://twitter.com/NandoSegovia/statuses/247905688557338624,"{""urls"":[],""hashtags"":[{""text"":""nexiumnoteacabes"",""indices"":[84,101]}],""user_mentions"":[]}",
amoxicillin,lizzy_murray,Spank god for always having my handy dandy amoxicillin on deck for times like these #byebyestrep caught ya before you fully hit me👊,18/09/2012 03:04:58,"loc: 41.820237,-71.430419",en,372885886,247893951498039296 ,,0,"Tue, 18 Sep 2012 03:04:58 +0000",,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2379780830/175cbb76c7d211e1a94522000a1e8aaf_7_normal.jpg,http://twitter.com/lizzy_murray/statuses/247893951498039296,"{""urls"":[],""hashtags"":[{""text"":""byebyestrep"",""indices"":[84,96]}],""user_mentions"":[]}",
Lipitor,Peralta_Design,“@chrisperalta_: @Peralta_Design the swami of salami #badbermannicknames” His segments are sponsored by Tums and Lipitor.,18/09/2012 02:57:50,"loc: 41.308916,-73.135326",en,18611131,247892157875224576 ,,0,"Tue, 18 Sep 2012 02:57:50 +0000",,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2588775150/image_normal.jpg,http://twitter.com/Peralta_Design/statuses/247892157875224576,"{""urls"":[],""hashtags"":[{""text"":""badbermannicknames"",""indices"":[53,72]}],""user_mentions"":[{""id"":248049264,""name"":""Chris Peralta"",""indices"":[1,15],""screen_name"":""chrisperalta_"",""id_str"":""248049264""},{""id"":18611131,""name"":""Ramon_Peralta"",""indices"":[17,32],""screen_name"":""Peralta_Design"",""id_str"":""18611131""}]}",
amoxicillin,lizzy_murray,Spank god for always having my handy dandy amoxicillin on deck for times like these #byebyestrep caught ya before you fully hit me👊,18/09/2012 03:04:58,"loc: 41.820237,-71.430419",en,372885886,247893951498039296 ,,0,"Tue, 18 Sep 2012 03:04:58 +0000",,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2379780830/175cbb76c7d211e1a94522000a1e8aaf_7_normal.jpg,http://twitter.com/lizzy_murray/statuses/247893951498039296,"{""urls"":[],""hashtags"":[{""text"":""byebyestrep"",""indices"":[84,96]}],""user_mentions"":[]}",
amoxicillin,shredB,@ChaseAleksick Coffee and amoxicillin.,18/09/2012 02:23:39,"loc: 32.980506,-115.522923",en,275705178,247883554321747970 ,ChaseAleksick,71172854,"Tue, 18 Sep 2012 02:23:39 +0000",247882420710428672,&lt;a href=&quot;http://twitter.com/download/android&quot;&gt;Twitter for Android&lt;/a&gt;,http://a0.twimg.com/profile_images/2318069619/cpkszkafqldmu26uce6j_normal.jpeg,http://twitter.com/shredB/statuses/247883554321747970,"{""urls"":[],""hashtags"":[],""user_mentions"":[{""id"":71172854,""name"":""chase aleksick"",""indices"":[0,14],""screen_name"":""ChaseAleksick"",""id_str"":""71172854""}]}",
amoxicillin,bbyjei,@cheskaaahG Haha. Drink medz. Amoxicillin.,18/09/2012 01:35:23,"loc: 14.619807,121.008126",nl,132807583,247871409207001089 ,cheskaaahG,228752401,"Tue, 18 Sep 2012 01:35:23 +0000",247869387107876864,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2615705185/bbyjei_normal.jpg,http://twitter.com/bbyjei/statuses/247871409207001089,"{""urls"":[],""hashtags"":[],""user_mentions"":[{""id"":228752401,""name"":""cheska ♋♤"",""indices"":[0,11],""screen_name"":""cheskaaahG"",""id_str"":""228752401""}]}",
citalopram,timothyjwatts98,@danielw2k1 citalopram and propanalol solves everything,17/09/2012 20:09:10,"loc: 52.460798,-1.90278",en,632235691,247789311829872640 ,danielw2k1,20262025,"Mon, 17 Sep 2012 20:09:10 +0000",247788731766026241,&lt;a href=&quot;http://twitter.com/download/android&quot;&gt;Twitter for Android&lt;/a&gt;,http://a0.twimg.com/profile_images/2520372637/4M37ci3c_normal,http://twitter.com/timothyjwatts98/statuses/247789311829872640,"{""urls"":[],""hashtags"":[],""user_mentions"":[{""id"":20262025,""name"":""Dan"",""indices"":[0,11],""screen_name"":""danielw2k1"",""id_str"":""20262025""}]}",
warfarin,dbloomfield,New rat poison book #warfarin   @ Bishop auckland http://t.co/IZ4oiIWo,17/09/2012 18:07:29,"loc: 54.647873,-1.703308",en,47663,247758689300275200 ,,0,"Mon, 17 Sep 2012 18:07:29 +0000",,&lt;a href=&quot;http://instagr.am&quot;&gt;Instagram&lt;/a&gt;,http://a0.twimg.com/profile_images/1380509971/image_normal.jpg,http://twitter.com/dbloomfield/statuses/247758689300275200,"{""urls"":[{""expanded_url"":""http://instagr.am/p/Pr5ah-ThEs/"",""indices"":[50,70],""display_url"":""instagr.am/p/Pr5ah-ThEs/"",""url"":""http://t.co/IZ4oiIWo""}],""hashtags"":[{""text"":""warfarin"",""indices"":[20,29]}],""user_mentions"":[]}",
amoxicillin,RyanEGregg,Amoxicillin and Naproxen? Drug. Me. Up. I need to sleeep.  #sick,17/09/2012 18:22:17,"loc: 43.599411,-116.20009",en,53128486,247762413695401984 ,,0,"Mon, 17 Sep 2012 18:22:17 +0000",,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2519220954/image_normal.jpg,http://twitter.com/RyanEGregg/statuses/247762413695401984,"{""urls"":[],""hashtags"":[{""text"":""sick"",""indices"":[59,64]}],""user_mentions"":[]}",1
warfarin,dbloomfield,New rat poison book #warfarin   @ Bishop auckland http://t.co/IZ4oiIWo,17/09/2012 18:07:29,"loc: 54.647873,-1.703308",en,47663,247758689300275200 ,,0,"Mon, 17 Sep 2012 18:07:29 +0000",,&lt;a href=&quot;http://instagr.am&quot;&gt;Instagram&lt;/a&gt;,http://a0.twimg.com/profile_images/1380509971/image_normal.jpg,http://twitter.com/dbloomfield/statuses/247758689300275200,"{""urls"":[{""expanded_url"":""http://instagr.am/p/Pr5ah-ThEs/"",""indices"":[50,70],""display_url"":""instagr.am/p/Pr5ah-ThEs/"",""url"":""http://t.co/IZ4oiIWo""}],""hashtags"":[{""text"":""warfarin"",""indices"":[20,29]}],""user_mentions"":[]}",
hydrocodone,TheeMorg__,Tylenol 3 &amp; hydrocodone 💊💊 got me too sleepy! Bout to throw my head on this damn desk tho.,17/09/2012 15:41:55,"loc: 29.722537,-95.362014",en,239189614,247722055380914176 ,,0,"Mon, 17 Sep 2012 15:41:55 +0000",,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2591912722/image_normal.jpg,http://twitter.com/TheeMorg__/statuses/247722055380914176,"{""urls"":[],""hashtags"":[],""user_mentions"":[]}",
omeprazole,DrSartre,Bravo Clément !! Omeprazole! Ou IPP ( inhibiteur de la pompe a protons! ) courage!!,17/09/2012 10:42:56,"loc: 44.49954,0.165846",fr,557111356,247646814021505024 ,,0,"Mon, 17 Sep 2012 10:42:56 +0000",,&lt;a href=&quot;http://mobile.twitter.com&quot;&gt;Mobile Web&lt;/a&gt;,http://a0.twimg.com/profile_images/2153443963/Photo_du_64048687-11-___17.47_normal.jpg,http://twitter.com/DrSartre/statuses/247646814021505024,"{""urls"":[],""hashtags"":[],""user_mentions"":[]}",
azithromycin,safetreeUchan,"RT @blogdokter: Temuan terbaru, antibiotika azithromycin dpt meningkatkan risiko kematian pd pasien yg telah ... http://t.co/t3k9UR2x",17/09/2012 03:05:27,"loc: -0.855353,100.336164",in,112112138,247531687456669696 ,,0,"Mon, 17 Sep 2012 03:05:27 +0000",,&lt;a href=&quot;http://ubersocial.com&quot;&gt;UberSocial for BlackBerry&lt;/a&gt;,http://a0.twimg.com/profile_images/2361317770/Screen_20120703_003854_normal.jpg,http://twitter.com/safetreeUchan/statuses/247531687456669696,"{""urls"":[{""expanded_url"":""http://m.tmi.me/x08sn"",""indices"":[113,133],""display_url"":""m.tmi.me/x08sn"",""url"":""http://t.co/t3k9UR2x""}],""hashtags"":[],""user_mentions"":[{""id"":6846792,""name"":""BlogDokter"",""indices"":[3,14],""screen_name"":""blogdokter"",""id_str"":""6846792""}]}",
zolpidem,Lawrisgomez,Llegandoo de pereiraaa!!!!!!!!!!!!! UFFFFFFFFFFFFFFF q día tan hermoSo #zolpIdem y a mooormirr ♬*♥♬*,17/09/2012 01:23:11,"loc: 4.5653,-75.654473",pt,292161295,247505950318141441 ,,0,"Mon, 17 Sep 2012 01:23:11 +0000",,&lt;a href=&quot;http://blackberry.com/twitter&quot;&gt;Twitter for BlackBerry®&lt;/a&gt;,http://a0.twimg.com/profile_images/2618164536/IMG00244-20120509-1019_normal.jpg,http://twitter.com/Lawrisgomez/statuses/247505950318141441,"{""urls"":[],""hashtags"":[{""text"":""zolpIdem"",""indices"":[71,80]}],""user_mentions"":[]}",
hydrocodone,amberraeriley,Where tf is my hydrocodone?!,17/09/2012 01:20:47,"loc: 32.160095,-98.253874",en,327832980,247505345944100864 ,,0,"Mon, 17 Sep 2012 01:20:47 +0000",,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2589554867/image_normal.jpg,http://twitter.com/amberraeriley/statuses/247505345944100864,"{""urls"":[],""hashtags"":[],""user_mentions"":[]}",
amoxicillin,CaitlynAngelina,@pavels82 I have mono and I was taking amoxicillin and if you do both at the same time you'll get a nasty rash :(,17/09/2012 01:15:32,"loc: 53.520581,-113.648755",en,128097077,247504023844958208 ,pavels82,23075026,"Mon, 17 Sep 2012 01:15:32 +0000",247502004635725826,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2382387619/image_normal.jpg,http://twitter.com/CaitlynAngelina/statuses/247504023844958208,"{""urls"":[],""hashtags"":[],""user_mentions"":[{""id"":23075026,""name"":""Пав"",""indices"":[0,9],""screen_name"":""pavels82"",""id_str"":""23075026""}]}",
alprazolam,salomezuniga,"No tengo marihuana, pero tengo alprazolam.",16/09/2012 22:39:26,"loc: -34.176032,-70.759208",es,90903036,247464739754627072 ,,0,"Sun, 16 Sep 2012 22:39:26 +0000",,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/1859511873/IMG00338-20120226-1758_normal.jpg,http://twitter.com/salomezuniga/statuses/247464739754627072,"{""urls"":[],""hashtags"":[],""user_mentions"":[]}",
alprazolam,salomezuniga,"Y en otras noticias, me drogo con cuatro alprazolam diarios para dejar de desearte.",16/09/2012 20:09:38,"loc: -34.175968,-70.759226",es,90903036,247427041509642240 ,,0,"Sun, 16 Sep 2012 20:09:38 +0000",,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/1859511873/IMG00338-20120226-1758_normal.jpg,http://twitter.com/salomezuniga/statuses/247427041509642240,"{""urls"":[],""hashtags"":[],""user_mentions"":[]}",
hydrocodone,Alex_P_Harrison,Pain pain go way... don't come back another day.. kthx. #wisdomteeth #hydrocodone,16/09/2012 19:27:03,"loc: 28.550229,-81.145692",en,531727346,247416325822099457 ,,0,"Sun, 16 Sep 2012 19:27:03 +0000",,&lt;a href=&quot;http://twitter.com/download/android&quot;&gt;Twitter for Android&lt;/a&gt;,http://a0.twimg.com/profile_images/2153635472/422013_3004175739063_1102440031_3226367_709224050_n_normal.jpg,http://twitter.com/Alex_P_Harrison/statuses/247416325822099457,"{""urls"":[],""hashtags"":[{""text"":""wisdomteeth"",""indices"":[56,68]},{""text"":""hydrocodone"",""indices"":[69,81]}],""user_mentions"":[]}",
amoxicillin,Joeyhb,@MrDispenser why can't you prescribe more than 500 mg of amoxicillin orally?if you can give a gram IV why can't you give it orally?,16/09/2012 18:59:50,"loc: 55.973034,-3.227632",en,38889674,247409475336667136 ,MrDispenser,349932046,"Sun, 16 Sep 2012 18:59:50 +0000",,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2606930252/image_normal.jpg,http://twitter.com/Joeyhb/statuses/247409475336667136,"{""urls"":[],""hashtags"":[],""user_mentions"":[{""id"":349932046,""name"":""Mr Dispenser"",""indices"":[0,12],""screen_name"":""MrDispenser"",""id_str"":""349932046""}]}",1
amoxicillin,ZeroMD,"For poor patients, try recommending amoxicillin instead of cefalexin, frequency q6h makes cefalexin twice as expensive",16/09/2012 15:36:19,"loc: 14.836848,120.285",en,52972078,247358261584617473 ,,0,"Sun, 16 Sep 2012 15:36:19 +0000",,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/308217016/Photo0254_normal.jpg,http://twitter.com/ZeroMD/statuses/247358261584617473,"{""urls"":[],""hashtags"":[],""user_mentions"":[]}",
hydrocodone,SaliSmith1,:-D OH HEY! MY AMBIEN XANAX AND HYDROCODONE ARE KICKING IN!!!!! #FUCKYEAH,16/09/2012 03:31:20,"loc: 43.531359,-96.75646",en,768177810,247175812703469568 ,,0,"Sun, 16 Sep 2012 03:31:20 +0000",,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2613021934/image_normal.jpg,http://twitter.com/SaliSmith1/statuses/247175812703469568,"{""urls"":[],""hashtags"":[{""text"":""FUCKYEAH"",""indices"":[64,73]}],""user_mentions"":[]}",
hydrocodone,Miss_Ab11,HYDROCODONE got me WASTED!! #PainMeds,16/09/2012 03:14:36,"loc: 38.932771,-95.26847",en,490938636,247171599025991682 ,,0,"Sun, 16 Sep 2012 03:14:36 +0000",,&lt;a href=&quot;http://twitter.com/download/android&quot;&gt;Twitter for Android&lt;/a&gt;,http://a0.twimg.com/profile_images/1823670797/DSCN2659_normal.jpg,http://twitter.com/Miss_Ab11/statuses/247171599025991682,"{""urls"":[],""hashtags"":[{""text"":""PainMeds"",""indices"":[28,37]}],""user_mentions"":[]}",
azithromycin,ABend3r,@MomentaiXO yeah I got azithromycin and cough medicine,16/09/2012 01:21:05,"loc: 35.746846,-78.676392",en,242959678,247143031294271488 ,MomentaiXO,211306236,"Sun, 16 Sep 2012 01:21:05 +0000",247142595464163328,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2493804735/a5qbbceqova9xf2wvney_normal.jpeg,http://twitter.com/ABend3r/statuses/247143031294271488,"{""urls"":[],""hashtags"":[],""user_mentions"":[{""id"":211306236,""name"":""Wes Albrecht"",""indices"":[0,11],""screen_name"":""MomentaiXO"",""id_str"":""211306236""}]}",
amoxicillin,Day_x,These amoxicillin are making my ear hurt more than what it was. It was just blocked.,15/09/2012 23:26:01,"loc: 51.661937,-3.351284",en,58308555,247114074595397632 ,,0,"Sat, 15 Sep 2012 23:26:01 +0000",,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2329387849/image_normal.jpg,http://twitter.com/Day_x/statuses/247114074595397632,"{""urls"":[],""hashtags"":[],""user_mentions"":[]}",
hydrocodone,Hektr,I think these 3 hydrocodone are my calling right now!! :(,15/09/2012 11:06:43,"loc: 29.673247,-95.21632",en,31674818,246928023511789568 ,,0,"Sat, 15 Sep 2012 11:06:43 +0000",,&lt;a href=&quot;http://twitter.com/download/android&quot;&gt;Twitter for Android&lt;/a&gt;,http://a0.twimg.com/profile_images/2596859922/8V7uamX3_normal,http://twitter.com/Hektr/statuses/246928023511789568,"{""urls"":[],""hashtags"":[],""user_mentions"":[]}",
levothyroxine,w_pat_tc,WO2012120338A1 Method For The Preparaton Of A Levothyroxine Solution #A61K #A61K9 http://t.co/YL180okS,15/09/2012 09:46:11,"loc: 47.368047,8.534673",en,163877216,246907758581018624 ,,0,"Sat, 15 Sep 2012 09:46:11 +0000",,&lt;a href=&quot;http://w.pat.tc&quot;&gt;TwittlyDumb&lt;/a&gt;,http://a0.twimg.com/profile_images/2309783804/355j4shhjrh4rqb5vsys_normal.jpeg,http://twitter.com/w_pat_tc/statuses/246907758581018624,"{""urls"":[{""expanded_url"":""http://w.pat.tc/WO2012120338A1"",""indices"":[82,102],""display_url"":""w.pat.tc/WO2012120338A1"",""url"":""http://t.co/YL180okS""}],""hashtags"":[{""text"":""A61K"",""indices"":[69,74]},{""text"":""A61K9"",""indices"":[75,81]}],""user_mentions"":[]}",
simvastatin,Ngazroel,Berkat simvastatin! (at RS KIA Permata Bunda Kotagede) [pic] — http://t.co/3TaJDYjk,15/09/2012 09:39:02,"loc: -7.820627,110.399807",lt,91395679,246905957936947200 ,,0,"Sat, 15 Sep 2012 09:39:02 +0000",,&lt;a href=&quot;http://path.com/&quot;&gt;Path 2.0&lt;/a&gt;,http://a0.twimg.com/profile_images/2511536650/9nsbfrqg6ifmhfw6jsgk_normal.png,http://twitter.com/Ngazroel/statuses/246905957936947200,"{""urls"":[{""expanded_url"":""http://path.com/p/jmSS5"",""indices"":[63,83],""display_url"":""path.com/p/jmSS5"",""url"":""http://t.co/3TaJDYjk""}],""hashtags"":[],""user_mentions"":[]}",
amoxicillin,MansourAltayyar,@Jameel_Miro oh wow! So they have a way more schools in this. Mine gave Amoxicillin 1000mg an hour prior and 500mg q6 for 12h only. I wonder,15/09/2012 04:44:57,"loc: 45.540661,-123.126368",en,187551831,246831950013288449 ,Jameel_Miro,445819360,"Sat, 15 Sep 2012 04:44:57 +0000",246825441107795968,&lt;a href=&quot;http://twitter.com/download/android&quot;&gt;Twitter for Android&lt;/a&gt;,http://a0.twimg.com/profile_images/2315330248/C1D485BB-CC53-4FF4-9A61-EF5C6C72DF8B_normal,http://twitter.com/MansourAltayyar/statuses/246831950013288449,"{""urls"":[],""hashtags"":[],""user_mentions"":[{""id"":445819360,""name"":""Jameel Miro"",""indices"":[0,12],""screen_name"":""Jameel_Miro"",""id_str"":""445819360""}]}",
hydrocodone,SaliSmith1,If I start tripping out don't worry!! Writers high as fuck on Hydrocodone Ambien and Xanax!!!!!!! NOW ALL I NEED IS SOME BOONES FARM!!!!,15/09/2012 02:26:36,"loc: 43.531349,-96.756434",en,768177810,246797133058019330 ,,0,"Sat, 15 Sep 2012 02:26:36 +0000",,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2606876924/image_normal.jpg,http://twitter.com/SaliSmith1/statuses/246797133058019330,"{""urls"":[],""hashtags"":[],""user_mentions"":[]}",
